,-3.000000000000000000e+00,-2.937500000000000000e+00,-2.875000000000000000e+00,-2.812500000000000000e+00,-2.750000000000000000e+00,-2.687500000000000000e+00,-2.625000000000000000e+00,-2.562500000000000000e+00,-2.500000000000000000e+00,-2.437500000000000000e+00,-2.375000000000000000e+00,-2.312500000000000000e+00,-2.250000000000000000e+00,-2.187500000000000000e+00,-2.125000000000000000e+00,-2.062500000000000000e+00,-2.000000000000000000e+00,-1.937500000000000000e+00,-1.875000000000000000e+00,-1.812500000000000000e+00,-1.750000000000000000e+00,-1.687500000000000000e+00,-1.625000000000000000e+00,-1.562500000000000222e+00,-1.500000000000000000e+00,-1.437500000000000000e+00,-1.375000000000000000e+00,-1.312500000000000000e+00,-1.250000000000000000e+00,-1.187500000000000000e+00,-1.125000000000000000e+00,-1.062500000000000000e+00,-1.000000000000000000e+00,-9.375000000000000000e-01,-8.750000000000000000e-01,-8.125000000000000000e-01,-7.500000000000000000e-01,-6.875000000000000000e-01,-6.250000000000000000e-01,-5.625000000000000000e-01,-5.000000000000000000e-01
5.000000000000000000e-01,1.311645507812500000e-01,1.383666992187500000e-01,1.461791992187500000e-01,1.547241210937500000e-01,1.640014648437500000e-01,1.742553710937500000e-01,1.854858398437500000e-01,1.979370117187500000e-01,2.118530273437500000e-01,2.273559570312500000e-01,2.447509765625000000e-01,2.642822265625000000e-01,2.862548828125000000e-01,3.111572265625000000e-01,3.394775390625000000e-01,3.719482421875000000e-01,4.088134765625000000e-01,4.503173828125000000e-01,4.924316406250000000e-01,5.280761718750000000e-01,5.524902343750000000e-01,5.646972656250000000e-01,5.671386718750000000e-01,5.642089843750000000e-01,5.593261718750000000e-01,5.524902343750000000e-01,5.456542968750000000e-01,5.378417968750000000e-01,5.300292968750000000e-01,5.217285156250000000e-01,5.134277343750000000e-01,5.046386718750000000e-01,4.953613281250000000e-01,4.859619140625000000e-01,4.764404296875000000e-01,4.664306640625000000e-01,4.559326171875000000e-01,4.449462890625000000e-01,4.334716796875000000e-01,4.210205078125000000e-01,4.075927734375000000e-01
1.000000000000000000e+00,2.212524414062500000e-01,2.334594726562500000e-01,2.469482421875000000e-01,2.615966796875000000e-01,2.777099609375000000e-01,2.952880859375000000e-01,3.148193359375000000e-01,3.363037109375000000e-01,3.597412109375000000e-01,3.853759765625000000e-01,4.136962890625000000e-01,4.447021484375000000e-01,4.783935546875000000e-01,5.144042968750000000e-01,5.510253906250000000e-01,5.837402343750000000e-01,6.096191406250000000e-01,6.286621093750000000e-01,6.398925781250000000e-01,6.433105468750000000e-01,6.418457031250000000e-01,6.369628906250000000e-01,6.311035156250000000e-01,6.237792968750000000e-01,6.164550781250000000e-01,6.081542968750000000e-01,5.998535156250000000e-01,5.910644531250000000e-01,5.822753906250000000e-01,5.729980468750000000e-01,5.637207031250000000e-01,5.544433593750000000e-01,5.441894531250000000e-01,5.344238281250000000e-01,5.236816406250000000e-01,5.129394531250000000e-01,5.012207031250000000e-01,4.895019531250000000e-01,4.766845703125000000e-01,4.630126953125000000e-01,4.481201171875000000e-01
1.500000000000000000e+00,2.945556640625000000e-01,3.106689453125000000e-01,3.282470703125000000e-01,3.472900390625000000e-01,3.677978515625000000e-01,3.897705078125000000e-01,4.136962890625000000e-01,4.390869140625000000e-01,4.664306640625000000e-01,4.958496093750000000e-01,5.266113281250000000e-01,5.588378906250000000e-01,5.900878906250000000e-01,6.179199218750000000e-01,6.413574218750000000e-01,6.599121093750000000e-01,6.726074218750000000e-01,6.799316406250000000e-01,6.809082031250000000e-01,6.784667968750000000e-01,6.735839843750000000e-01,6.672363281250000000e-01,6.599121093750000000e-01,6.525878906250000000e-01,6.442871093750000000e-01,6.359863281250000000e-01,6.271972656250000000e-01,6.179199218750000000e-01,6.086425781250000000e-01,5.993652343750000000e-01,5.895996093750000000e-01,5.793457031250000000e-01,5.690917968750000000e-01,5.583496093750000000e-01,5.476074218750000000e-01,5.358886718750000000e-01,5.241699218750000000e-01,5.114746093750000000e-01,4.978027343750000000e-01,4.832763671875000000e-01,4.674072265625000000e-01
